Code,Parents,Synonyms,Definition,Display Name,Semantic Type,Concept in Subset
C169048,C390,Nanoparticle-based Manganese-containing Contrast Agent SN132D|MRI Contrast Agent SN132D|Manganese-based Macromolecular Contrast Agent SN132D|Manganese-containing Nanoparticle Contrast Agent SN132D|Nanoparticle-based Contrast Agent with Manganese SN132D|SN132D|SpagoPix,"A contrast agent formulation composed of a polymeric core containing the paramagnetic contrast agent manganese chloride tetrahydrate (MnCl2 4H2O), in which the Mn2+ ions are chelated to phosphonate groups, and covered with a coating layer of covalently attached polyetyleneglycol (PEG)-polymers, that can potentially be used as a contrast enhancer during magnetic resonance imaging (MRI). Upon intravenous administration of the nanoparticle-based manganese-containing contrast agent SN132D, the nanoparticles enhance absorption of the poorly absorbable contrast agent manganese, and selectively accumulates in the tumor microenvironment (TME). Due to the retention of manganese in the TME and its paramagnetic properties, this contrast agent enhances the visualization and detection of tumor cells during MRI.",,"Indicator, Reagent, or Diagnostic Aid",NCI Drug Dictionary Terminology
C17005,C43359,Population Group|Group|Population|Subpopulation|population|population group|population_group,"A group of individuals united by a common factor (e.g., geographic location, ethnicity, disease, age, gender)",,Population Group,CDISC Glossary Terminology|Clinical Data Interchange Standards Consortium Terminology|GDC Property Terminology
C170743,C1291,Liposomal Bcl-2 Antisense Oligonucleotide BP1002|BP 1002|BP-100-1.02|BP-1002|BP1002|L-Bcl-2 Antisense Oligonucleotide BP1002|Liposomal Bcl-2 Antisense BP1002,"A liposomal-based nanoparticle composed of an uncharged P-ethoxy antisense oligodeoxynucleotide (ODN) targeting Bcl-2 mRNA and incorporated in liposomes, with potential antineoplastic activity. Upon administration of liposomal Bcl-2 antisense oligonucleotide BP1002, this agent targets and hybridizes with Bcl-2 mRNA and inhibits the expression of Bcl-2 protein. This may induce tumor cell apoptosis of Bcl2-overexpressing tumor cells and may decrease tumor cell proliferation. Bcl2, a protein involved in regulating programmed cell death, is overexpressed in a wide variety of tumors. It promotes cellular survival and inhibits apoptosis.",,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C170753,C201688,Lipid Nanoparticle Encapsulating Glutathione S-transferase P siRNA NBF-006|Lipid Nanoparticle Encapsulating GSTP siRNA NBF-006|NBF 006|NBF-006|NBF006|siRNA-based LNP NBF-006|siRNA-based Lipid Nanoparticle NBF-006,"A biodegradable, lyophilized lipid nanoparticle (LNP) encapsulating small interfering ribonucleic acid (siRNA) directed against glutathione S-transferase P (GSTP), with potential antineoplastic activity. Upon administration of LNP encapsulating GSTP siRNA NBF-006, the LNP formulation delivers the siRNA particles to the tumor cells where the GSTP siRNA targets and binds to GSTP mRNA. This results in the inhibition of the translation and expression of GSTP and may inhibit proliferation of KRAS-overexpressing tumor cells. GSTP, an enzyme overexpressed in many tumor cell types, is involved in modulating MAP kinase-related cell-signaling pathways.",,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C1708,C20181,Agent|agent,"An active power or cause (as principle, substance, physical or biological factor, etc.) that produces a specific effect.",,Chemical Viewed Functionally,ICDC Node Terminology|ICDC Terminology
C172787,C923,mRNA Vaccine,"A type of vaccine that is based on mRNA, which encodes the antigen of interest expressed by a pathogen or tumor cell. Upon cellular uptake by host cells, the translated protein is presented to the immune system and may induce a specific immune response against cells expressing the protein. mRNA-based dendritic cell (DC) vaccines are mRNA vaccines, in which the mRNA is introduced ex vivo.",,Pharmacologic Substance,
C173879,C2201|C129825,Encapsulated Rapamycin|Encapsulated Sirolimus|Microencapsulated Rapamycin|eRapa (TM),"An orally bioavailable nanoparticle-based formulation composed of sub-micron particles of the macrolide antibiotic rapamycin incorporated into a pH-sensitive poly(methyl methacrylate) polymer, with potential immunomodulating and antineoplastic activities. Upon oral administration of the encapsulated rapamycin, the nanoparticle specifically delivers rapamycin at the tumor site. Rapamycin binds to the immunophilin FK Binding Protein-12 (FKBP-12) to generate a complex that binds to and inhibits the activation of the serine/threonine kinase mammalian target of rapamycin (mTOR), a key regulatory kinase. This may suppress mTORC1 activity. In addition, inhibition of mTOR may modulate central memory CD8 T cells, CD3+/CD56+ natural killer (NK) cells and CD8 T-cell responses. This may kill tumor cells. Compared to the administration of rapamycin alone, this formulation improves oral bioavailability of rapamycin with more consistent rapamycin levels, thereby allowing for administration of lower rapamycin dosage, which improves and minimizes rapamycin's toxicity. Upregulated in some tumors, mTOR is a serine/threonine kinase involved in regulating cellular proliferation, motility, and survival that is located downstream of the PI3K/Akt signaling pathway.",Encapsulated Rapamycin,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C174128,C28681,Multi-antigen-directed Autologous T-cells NEXI-002|Autologous MM-associated Antigens Specific T Cells NEXI-002|NEXI 002|NEXI-002|NEXI-002 T Cells|NEXI002|TAA Primed Antigen-specific CD8+ T Cells NEXI-002,"A preparation of autologous T-cells targeting several multiple myeloma (MM)-associated antigens, with potential immunomodulating and antineoplastic activities. Peripheral blood mononuclear cells (PBMC) from the patient are collected and ex vivo exposed to nanoparticles that mimic antigen-presenting cells (APCs) loaded with multiple MM-associated antigens, including Wilms' tumor 1 (WT1), CD138 (syndecan-1; SDC1), cancer-testis antigen NY-ESO-1 and CS1 (CD319; CRACC; SLAMF7), and are further enriched and expanded ex-vivo before being re-introduced into the patient. Upon administration, the multi-antigen-directed autologous T-cells NEXI-002 are re-introduced into the patient, where they target and kill tumor cells expressing these antigens.",Multi-antigen-directed Autologous T-cells NEXI-002,Cell|Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C1742,C274,Angiogenesis Inhibitor|Angiogenesis Antagonists|Angiogenesis Blockers|Angiogenesis Inhibitors|Anti-Angiogenic Agents|Antiangiogenesis Agents|Antiangiogenic Agent|angiogenesis inhibitor|antiangiogenic,"An agent or endogenous substance that inhibits the formation of capillaries from existing blood vessels. In cancer therapy, angiogenesis inhibitors preferentially target the new blood vessels that tumors require for oxygen and nutrition, thereby inhibiting the growth and spread of these tumors.",Angiogenesis Inhibitor,Chemical Viewed Functionally,CPTAC Codelists Terminology|CPTAC Terminology|CPTAC Treatments Codelist|CTRP Agent Terminology|CTRP Terminology
C1748,C129825,Topoisomerase Inhibitor|DNA Topoisomerase Inhibitors|Topoisomerase Inhibitors|topoisomerase inhibitor,"Any substance that inhibits topoisomerase, an enzyme that cleaves the DNA backbone to relieve torsional stress in a DNA molecule generated during replication, transcription, and other structural transformations. Inhibition of topoisomerase causes DNA damage, inhibition of DNA replication, and apoptosis.",,Chemical Viewed Functionally,
C1752,C923,Peptide Vaccine,A vaccine based on a synthetic peptide or peptides produced from tissue samples or recombinant sources. Vaccination with peptide vaccines may elicit host immune responses against antigen-expressing cells.,,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",
C175469,C804|C2201,Fenretinide Phospholipid Suspension ST-001|ST 001|ST-001|ST001|nanoFenretinide ST-001,"An intravenous formulation composed of a phospholipid suspension of nanoparticles containing the synthetic retinoid derivative fenretinide, with potential antineoplastic activity. Upon intravenous administration, fenretinide binds to and activates retinoic acid receptors (RARs), thereby inducing cell differentiation and apoptosis in susceptible tumor cell types. Fenretinide also binds to and inhibits the activity of mammalian target of rapamycin (mTOR), which may result in both the induction of tumor cell apoptosis and a decrease in tumor cell proliferation. Independent of RAR activation and mTOR inhibition, this agent may also modulate gene expression that leads to ceramide-induced, caspase-independent programmed cell death (PCD) via effectors such as ganglioside GD3 and reactive oxygen species (ROS).",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C175941,C201688|C129821,Cotsiranib|COTSIRANIB|STP 705|STP-705|STP705,"A polypeptide nanoparticle (PNP)-based small interfering RNA (siRNA) therapeutic directed against transforming growth factor-beta 1 (TGF-beta 1) and cyclo-oxygenase-2 (COX-2), with potential antineoplastic activity. Upon intralesional administration, cotsiranib binds to both TGF-beta 1 and COX-2 messenger RNAs (mRNAs), preventing the translation and expression of TGF-beta 1 and COX-2 proteins. This inhibits TGF-beta 1-mediated signaling and abrogates TGF-beta 1-mediated immunosuppression, which may enhance anti-tumor immunity in the tumor microenvironment (TME) and promote a cytotoxic T-lymphocyte (CTL)-mediated immune response against tumor cells leading to tumor cell death. The inhibition of COX-2 prevents COX-2-mediated signaling, which may result in apoptosis and a reduction in tumor cell proliferation, tumor angiogenesis and metastasis.",Cotsiranib,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C176017,C163758,PSMA-targeting Agent,Any agent that targets prostate-specific membrane antigen (PSMA).,PSMA-targeting Agent,Chemical Viewed Functionally,CTRP Agent Terminology|CTRP Terminology
C176586,C129820,STING Agonist,Any agent that activates the stimulator of interferon genes protein (STING; transmembrane protein 173; TMEM173).,STING Agonist,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology
C177174,C2139,Toll-like Receptor Agonist|TLR Agonist,Any agent that binds to and activates toll-like receptors (TLRs).,,Pharmacologic Substance,
C177175,C177174,Toll-like Receptor 9 Agonist|TLR9 Agonist,Any agent that binds to and activates toll-like receptor 9 (TLR9).,,Pharmacologic Substance,
C177176,C177174,Toll-like Receptor 7 Agonist|TLR7 Agonist,Any agent that binds to and activates toll-like receptor 7 (TLR7).,,Pharmacologic Substance,
C177430,C274,Agent Targeting Cancer Metabolism,Any agent that targets any of the cancer cell metabolism pathways.,,Pharmacologic Substance,
C178643,C1904,Nanoparticle SN-38-encapsulated Micelle Formulation SNB-101|Nanoparticle Formulation SNB-101|SN-38-containing Nano-particle SNB-101|SN-38-containing Nano-sized Micelle Formulation SNB-101|SNB 101|SNB-101|SNB101,"A nanoparticle-based formulation consisting of double core-shell (DUCS) micelles containing 7-ethyl-10-hydroxy-camptothecin (SN-38), the active, hydrophobic metabolite of the prodrug irinotecan, with potential antineoplastic activity. Upon intravenous administration, nanoparticle SN-38-encapsulated micelle formulation SNB-101 diffuses into the tumor site and the SN-38 moiety binds to and inhibits topoisomerase I by stabilizing the cleavable complex between topoisomerase I and DNA, which results in DNA breaks, inhibition of DNA replication, and apoptosis. Compared to SN-38 alone, this formulation increases the water solubility of the poorly soluble drug SN-38, and due to the stability of this formulation, it has a much longer circulation time and reduces toxicity to normal, healthy tissues.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology
C179302,C1663,Epstein-Barr Virus gp350-ferritin Nanoparticle Vaccine with Saponin-based Adjuvant|EBV gp350-based Nanoparticle Vaccine|EBV gp350-ferritin Nanoparticle Vaccine with Saponin-based Adjuvant|EBV gp350-ferritin Vaccine|EBV gp350-ferritin Vaccine/Matrix M1|Epstein-Barr Virus gp350-ferritin Nanoparticle Vaccine with Matrix-M1 Adjuvant,"A ferritin-based, nanoparticle vaccine consisting of the Epstein-Barr Virus (EBV) envelop glycoprotein gp350 and a saponin-based adjuvant, with potential immunizing activity against EBV. Upon intramuscular administration of EBV gp350-ferritin nanoparticle vaccine with saponin-based adjuvant, the EBV gp350 may activate both humoral and cellular immune responses which may result in protection against EBV infection. EBV, a ubiquitous human herpes virus, is associated with infectious mononucleosis and various malignancies, including nasopharyngeal carcinoma, Hodgkin disease, non-Hodgkin lymphoma, and other lymphomas.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
